Població de 2 anys i més segons coneixement del català
Municipis. 2011
"Font: Idescat, a partir del Cens de població i habitatges de l'INE."
.. Informació no disponible. Vegeu metodologia.

"El Cens 2011 inclou dades provinents d'enquesta. Els resultats han estat convenientment arrodonits i es mostren sense decimals. Per aquesta raó algun total pot no coincidir amb la suma de la seva desagregació per sexe, edat o territori."
 
Institut d'Estadística de Catalunya
http://www.idescat.cat/pub/?id=censph&n=17&by=mun
Codi,Literal,L'entén,El sap parlar,El sap llegir,El sap escriure,No l'entén,Població de 2 anys i més
080446,Capellades,5218,4453,4527,3375,102,5321,
170427,Capmany,594,535,540,400,..,608,
080459,Capolat,85,85,85,74,0,85,
080462,Cardedeu,16431,14049,14534,11149,341,16772,
080478,Cardona,4823,4277,4322,2890,..,4875,
080484,Carme,812,691,720,482,..,837,
430419,Caseres,274,248,231,139,..,275,
170448,Cassà de la Selva,9064,7758,7770,6172,397,9462,
080497,Casserres,1494,1444,1418,1161,..,1515,
080575,Castell de l'Areny,72,72,72,68,0,72,
259046,Castell de Mur,163,154,144,89,0,163,
250642,Castellar de la Ribera,155,148,144,134,0,155,
080522,Castellar de n'Hug,172,154,157,119,0,172,
080500,Castellar del Riu,173,165,157,139,0,173,
080517,Castellar del Vallès,22303,18701,19548,14716,383,22686,
080538,Castellbell i el Vilar,3462,2962,3041,2250,105,3567,
080543,Castellbisbal,11427,9316,9760,7518,525,11952,
080556,Castellcir,597,528,550,432,..,612,
250674,Castelldans,973,853,884,556,..,988,
080569,Castelldefels,55913,39430,44311,29699,3611,59524,
080581,Castellet i la Gornal,2148,1676,1783,1268,..,2203,
170464,Castellfollit de la Roca,974,849,823,578,..,981,
080608,Castellfollit de Riubregós,184,166,180,135,0,184,
080594,Castellfollit del Boix,397,367,357,287,..,405,
080615,Castellgalí,1911,1506,1592,1145,..,1934,
080620,Castellnou de Bages,1115,1018,1012,845,..,1121,
250680,Castellnou de Seana,744,686,665,505,0,744,
170470,Castelló d'Empúries,9724,6560,7330,5133,1479,11203,
250693,Castelló de Farfanya,535,491,477,330,..,540,
080636,Castellolí,530,511,494,411,0,530,
170486,Castell-Platja d'Aro,9147,6716,7177,4748,834,9981,
250707,Castellserà,1079,947,974,675,0,1079,
080641,Castellterçol,2228,1985,2012,1671,..,2233,
430424,Castellvell del Camp,2740,2389,2461,1877,..,2774,
080654,Castellví de la Marca,1593,1377,1380,1027,..,1605,
080667,Castellví de Rosanes,1560,1304,1379,1029,43,1603,
430430,"Catllar, el",3929,3453,3532,2582,..,4071,
250714,Cava,62,58,58,35,0,62,
171899,"Cellera de Ter, la",1926,1695,1721,1327,..,2007,
170499,Celrà,4356,3563,3703,2885,352,4708,
080673,Centelles,7016,6188,6259,5059,..,7136,
