Població segons lloc de naixement  per comunitats autònomes
Municipis. 2011
"Font: Idescat, a partir del Cens de població i habitatges de l'INE."
"El Cens 2011 inclou dades provinents d'enquesta. Els resultats han estat convenientment arrodonits i es mostren sense decimals. Per aquesta raó algun total pot no coincidir amb la suma de la seva desagregació per sexe, edat o territori."
Institut d'Estadística de Catalunya
http://www.idescat.cat/pub/?id=censph&n=12&by=mun
Codi,Literal,Catalunya,Barcelona,Girona,Lleida,Tarragona,Resta Estat,Andalusia,Aragó,Principat d'Astúries,Illes Balears,Canàries,Cantàbria,Castella - la Manxa,Castella i Lleó,Comunitat Valenciana,Extremadura,Galícia,Comunitat de Madrid,Regió de Múrcia,Comunitat Foral de Navarra,País Basc,"Rioja, La",Ceuta i Melilla,Estranger,Total
080168,Bagà,1852,1781,33,29,9,410,272,19,6,0,0,1,23,21,18,15,10,8,9,4,3,0,1,128,2391,
250390,Baix Pallars,313,79,1,232,1,21,10,2,0,1,0,0,3,1,0,2,1,1,0,0,0,0,0,25,360,
250404,Balaguer,11057,726,37,10194,100,2124,1188,303,9,10,10,9,98,107,74,123,58,37,40,19,27,2,11,3687,16868,
080174,Balenyà,2825,2748,50,13,14,546,298,9,1,5,1,1,60,26,5,91,15,13,11,2,2,0,6,322,3693,
080180,Balsareny,2508,2452,10,44,2,642,452,22,9,2,0,0,47,30,4,41,3,8,15,2,1,3,3,334,3484,
430206,Banyeres del Penedès,2017,1053,10,11,943,699,271,25,98,2,0,33,48,77,22,56,20,7,12,2,20,2,4,275,2991,
170157,Banyoles,13827,1434,12292,47,53,1460,744,46,10,14,14,8,80,134,70,124,76,65,14,8,33,8,12,3877,19163,
250411,Barbens,681,51,3,609,18,55,19,7,0,0,0,0,1,10,3,6,4,1,2,1,0,1,0,187,923,
430213,Barberà de la Conca,368,109,1,8,250,72,33,6,2,5,0,0,3,5,4,7,1,2,2,0,1,0,1,80,519,
082520,Barberà del Vallès,20809,20330,113,244,122,8383,4353,429,57,38,23,28,687,680,215,880,339,176,287,30,62,25,75,2995,32186,
080193,Barcelona,957743,907644,12179,21196,16723,314615,85747,36696,4876,3886,2575,2928,23423,46381,19475,16945,31162,14211,9102,3969,7535,2844,2859,338655,1611013,
250426,"Baronia de Rialb, la",225,27,0,198,0,10,1,4,0,1,0,0,0,1,1,2,0,0,0,0,0,0,0,18,253,
170160,Bàscara,771,87,676,6,2,83,44,4,0,0,2,0,1,5,3,13,2,1,6,0,1,0,1,104,958,
250447,Bassella,216,17,0,197,2,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,26,245,
430228,Batea,1691,84,0,4,1603,131,10,87,1,1,0,0,7,5,10,4,3,1,0,0,2,0,0,254,2076,
250450,Bausen,47,14,0,33,0,6,1,0,0,0,0,0,0,1,1,0,2,1,0,0,0,0,0,7,60,
