Població de 16 anys i més segons nivell d'instrucció
Municipis. 2011
"Font: Idescat, a partir del Cens de població i habitatges de l'INE."
.. Informació no disponible. Vegeu metodologia.

"El Cens 2011 inclou dades provinents d'enquesta. Els resultats han estat convenientment arrodonits i es mostren sense decimals. Per aquesta raó algun total pot no coincidir amb la suma de la seva desagregació per sexe, edat o territori."
 
Institut d'Estadística de Catalunya
http://www.idescat.cat/pub/?id=censph&n=15&by=mun
Codi,Literal,No sap llegir o escriure,Sense estudis,Educació primària,ESO,Batxillerat superior,FP grau mitjà,FP grau superior,Diplomatura,Grau universitari,Llicenciatura i doctorat,Total
430509,Creixell,..,268,430,845,285,350,127,264,..,141,2810,
179011,"Cruïlles, Monells i Sant Sadurní de l'Heura",..,78,202,328,112,74,..,98,..,105,1056,
080749,Cubelles,267,1201,1382,3387,1610,873,816,770,..,1080,11511,
430516,Cunit,..,996,1470,2870,1395,1053,934,599,229,231,10052,
439018,Deltebre,322,1042,2121,3921,941,629,497,317,..,234,10111,
080752,Dosrius,..,270,291,1424,567,412,292,292,..,484,4111,
170622,"Escala, l'",..,653,1319,2534,1116,594,575,600,543,570,8572,
080765,Esparreguera,523,1308,2443,5686,2065,1673,1753,901,170,1030,17553,
430542,"Espluga de Francolí, l'",..,279,451,1000,391,278,320,178,..,214,3182,
080771,Esplugues de Llobregat,671,3767,4662,10580,5950,2854,2673,2315,949,4643,39063,
082541,"Esquirol, l'",..,115,304,580,235,163,102,153,..,147,1854,
430555,Falset,..,131,457,764,245,218,154,108,..,214,2372,
430568,"Fatarella, la",..,189,184,354,46,54,42,55,..,45,979,
081347,Figaró-Montmany,..,37,78,325,132,44,65,34,..,100,833,
170669,Figueres,797,2482,6481,11206,6121,2324,1600,1780,723,2600,36116,
170675,Flaçà,..,47,123,315,109,73,55,58,..,89,895,
430607,Flix,..,369,526,916,304,461,359,232,..,156,3374,
080826,Fogars de la Selva,..,100,260,410,123,146,85,..,..,61,1237,
080832,Folgueroles,..,63,127,576,200,117,184,177,..,200,1676,
080847,Fonollosa,..,117,138,432,111,78,155,74,..,..,1177,
170715,Fontcoberta,..,55,145,334,190,88,40,83,41,114,1106,
080850,Font-rubí,..,98,191,368,145,88,85,88,..,116,1199,
179026,Forallac,..,61,165,488,208,90,91,105,52,168,1465,
170736,Fornells de la Selva,..,54,195,485,312,137,124,178,57,330,1901,
080863,"Franqueses del Vallès, les",323,1174,2050,5422,1454,1434,1310,698,..,1018,15069,
250962,"Fuliola, la",..,131,228,468,71,68,53,38,..,..,1106,
