id,area,pop,density
25096,11.17250,1260,112.776907
25097,16.36095,87,5.31753962
25098,90.98785,297,3.26417208
25099,16.81208,1835,109.147708
25100,56.39710,228,4.04276106
25101,86.70021,723,8.33908014
25102,38.49017,977,25.3831043
08009,25.29986,12051,476.326746
25103,24.20389,153,6.32129794
25104,16.43940,147,8.94193218
25105,20.33502,158,7.76984728
25109,25.75669,275,10.6768377
25110,18.20408,6892,378.596446
25111,65.30677,146,2.23560283
25112,27.10306,351,12.9505672
25113,24.25749,1578,65.0520725
25114,15.20410,114,7.49797751
25115,140.50392,1046,7.44463214
25118,77.17952,418,5.41594454
25119,47.40895,3343,70.5141117
25120,212.34198,138144,650.573193
25121,23.38734,958,40.9623326
25122,28.81600,2650,91.9627984
25123,147.00968,226,1.53731373
25124,129.47929,187,1.44424641
25125,66.15707,476,7.19499820
25126,69.10916,355,5.13680096
25127,102.91448,247,2.40005099
25128,40.96273,150,3.66186531
25129,38.93646,203,5.21362239
25130,31.65350,230,7.26617909
25131,13.85227,571,41.2206807
25132,26.38507,203,7.69374498
25133,57.81544,950,16.4315968
25134,20.33490,847,41.6525284
25135,14.92289,1369,91.7382624
25136,26.98898,111,4.11278973
25137,6.95514,14585,2097.01026
25138,29.12957,651,22.3484246
25139,55.15137,547,9.91815797
25140,177.13670,1050,5.92762538
25141,29.52617,188,6.36723286
25142,7.37011,495,67.1631766
25143,11.97787,100,8.34872978
25145,9.68364,100,10.3266953
25146,145.74089,283,1.94180233
25148,114.02894,259,2.27135321
25149,31.88583,1844,57.8313313
25150,86.57678,220,2.54109704
25151,55.24824,929,16.8150152
25152,19.12041,152,7.94962032
25153,11.03141,217,19.6711027
25154,13.05565,137,10.4935411
25155,12.85142,804,62.5611800
25156,135.22285,1022,7.55789424
25157,26.06598,214,8.20993494
25158,12.38388,2153,173.855043
25161,166.00526,439,2.64449451
25163,60.71352,261,4.29887774
25164,25.57925,474,18.5306449
25165,55.74939,344,6.17047110
25166,91.50486,213,2.32774521
25167,104.51341,297,2.84174059
25168,8.87182,655,73.8292706
25169,62.09045,206,3.31774048
25170,17.48133,307,17.5615928
